,Rooms,Members,Fans,Lights,Freezes,Microwave Oven,Geyser,AC,Washing Machine,TV,PC,Induction Stove,21July unit,21 August unit,21 sep unit,21 oct unit,21 nov unit,21 dec unit,22 jan unit,22 feb unit,22 mar unit,22 april unit,22 may unit,22 june unit,Pre_paid_22_apr_unit,22_may_unit,22_june_unit,22_july_unit,22_aug_unit,22_sep_unit,22_oct_unit,22_nov_unit,22_dec_unit,23_jan_unit,23_feb_unit,23_mar_unit,23_apr_unit,23_may_unit,23_june_unit,23_jul_unit,23_aug_unit,23_sep_unit,23_oct_unit,23_nov_unit,23_dec_unit
Rooms,1.0,-0.29277002188455997,0.5773502691896258,0.8006407690254358,0.9271726499455306,1.0,0.8703882797784892,0.9622504486493764,0.8164965809277261,1.0,1.0,1.0,0.9809872273664779,0.9903033804696191,0.9918054235544729,0.9939649266373576,0.9938112625599329,0.9865116079796159,0.9993502898816362,0.9918938982437562,0.9946148282593729,0.9867828762733268,0.9671846440733168,0.9495887342496611,0.36432431481667155,-0.38861346737748936,-0.3879614880259179,-0.01764199384662855,-0.29976902205178924,-0.2846593498484009,-0.34563035636997624,-0.35244262077399346,-0.4872003938255529,-0.5222416823665434,-0.4207726184804043,-0.22800962774458428,-0.27129870151947516,-0.21484441363600026,-0.12188886592762618,0.06863534248579034,-0.20613310720023914,-0.20827475577613347,-0.19718176451304176,-0.29954514679466104,-0.4861735103773935
Members,-0.29277002188455997,1.0,0.50709255283711,-0.6094494002200441,0.038778336716474064,-0.29277002188455997,-0.6625413488689132,-0.28171808490950556,-0.7171371656006361,-0.29277002188455997,-0.29277002188455997,-0.29277002188455997,-0.10227251998923269,-0.1634925612257168,-0.17487453293104288,-0.18615699494495713,-0.1849919070626281,-0.3986570885325204,-0.3234467250034862,-0.1862278905781617,-0.19681812478401062,-0.13395528218425515,-0.09928908571888215,-0.024091747199421056,0.6576962064198955,0.9947542894979046,0.9945370483153895,0.9478469236119949,0.999968652674212,0.9992680206214277,0.9968636187265284,0.9798654411082814,0.8533577472829769,0.8885684871394733,0.6911236613705082,0.9977474773449415,0.9993438690589368,0.9912703550558492,0.9272962613315412,0.7751062614208247,0.9958708010613743,0.986270163983302,0.9947914539051961,0.9747405092505725,0.9775639628946224
Fans,0.5773502691896258,0.50709255283711,1.0,2.463363718453367e-16,0.6882472016116854,0.5773502691896261,0.30151134457776385,0.6666666666666671,1.570092458683775e-16,0.5773502691896261,0.577350269189626,0.5773502691896261,0.7096932974218176,0.6826410294928371,0.6750201431925996,0.6500812724946758,0.6490411845256625,0.535947208689286,0.5476051982650929,0.6764063303372805,0.6569402678210062,0.6839373542858328,0.62658842039598,0.804042848623226,0.5805516855206183,0.4232076473188007,0.4378869617244408,0.6189556883508088,0.5027361856197047,0.528239136334846,0.4400806101034886,0.36827898481901644,0.057146310329181715,0.09234703863700765,-0.10286954710418275,0.555851434064089,0.5353185024126207,0.5193517827928003,0.4501512631429859,0.40271769659680945,0.5793891885475667,0.6220216292439052,0.5900218371557869,0.5740118225738011,0.32671189707170434
Lights,0.8006407690254358,-0.6094494002200441,2.463363718453367e-16,1.0,0.6999132392733556,0.8006407690254358,0.7526178090063818,0.647150228929434,0.9805806756909202,0.8006407690254358,0.8006407690254357,0.8006407690254358,0.702278960375191,0.7217227481439846,0.7278534696028235,0.7542640483468611,0.755655940804807,0.7820790506069336,0.8200418250723313,0.7217965449645256,0.7432960719084675,0.7269045982423671,0.7741500909166714,0.5806568972317077,0.1945280316093028,-0.6681748080710433,-0.6835312565047418,-0.32540043247022193,-0.6155564890995557,-0.6205469081659251,-0.6189210588590062,-0.5568727119894288,-0.47398676298047315,-0.5533029907096717,-0.2593042254363787,-0.5633593882887662,-0.6075103406440827,-0.5049694334491447,-0.3093141254615155,-0.021664783953144584,-0.5560873000826834,-0.610665636363095,-0.5543506403628701,-0.7046289276280587,-0.7204895339287152
Freezes,0.9271726499455306,0.038778336716474064,0.6882472016116854,0.6999132392733556,1.0,0.9271726499455305,0.622543017479467,0.8411910241920597,0.6488856845230502,0.9271726499455305,0.9271726499455305,0.9271726499455305,0.9692829046408201,0.9531066609551727,0.9509682995052592,0.9577578720033675,0.9588120403765604,0.8555533990274098,0.9190991826669901,0.9427506944914811,0.9482797401773443,0.9676603082067716,0.9902425915783841,0.9353797312911941,0.6866383152649571,-0.0595876097125484,-0.0655636193572365,0.3346966170608791,0.03102197983262164,0.039858872200198264,-0.006118873704793705,0.0058164350844561044,-0.12469244962530059,-0.16568289428307206,-0.0689825543342281,0.10494371811246296,0.055243550180596776,0.13560503584663833,0.25322101750735954,0.43667896968128744,0.1232952712279515,0.09424045600896037,0.13013337011037074,-0.018490513969330907,-0.16266054317396775
Microwave Oven,1.0,-0.29277002188455997,0.5773502691896261,0.8006407690254358,0.9271726499455305,1.0,0.8703882797784892,0.9622504486493764,0.8164965809277261,1.0,1.0,1.0,0.9809872273664779,0.9903033804696191,0.9918054235544729,0.9939649266373576,0.9938112625599329,0.9865116079796159,0.9993502898816362,0.9918938982437562,0.9946148282593729,0.9867828762733268,0.9671846440733168,0.9495887342496611,0.36432431481667155,-0.38861346737748936,-0.3879614880259179,-0.01764199384662855,-0.29976902205178924,-0.2846593498484009,-0.34563035636997624,-0.35244262077399346,-0.4872003938255529,-0.5222416823665434,-0.4207726184804043,-0.22800962774458428,-0.27129870151947516,-0.21484441363600026,-0.12188886592762618,0.06863534248579034,-0.20613310720023914,-0.20827475577613347,-0.19718176451304176,-0.29954514679466104,-0.4861735103773935
Geyser,0.8703882797784892,-0.6625413488689132,0.30151134457776385,0.7526178090063818,0.622543017479467,0.8703882797784892,1.0,0.9045340337332909,0.8528028654224417,0.8703882797784892,0.8703882797784892,0.8703882797784892,0.7753281757846927,0.8160487342052539,0.8219967574108933,0.8175845657764889,0.8158781233165898,0.9363380841197534,0.8796416943762437,0.8329816238772563,0.8313988716495656,0.789567401004703,0.7189490942706575,0.7542963620129948,-0.14137087004404592,-0.7334735958264578,-0.7242576399952962,-0.4767304561757756,-0.6669679333240618,-0.647018809396897,-0.7139564916242818,-0.7438729167231437,-0.8538504456667876,-0.8731773115622259,-0.7883044952688345,-0.6142196450468238,-0.6393287534129544,-0.6270152759207503,-0.5874151535063317,-0.4305340484221802,-0.5926397500212494,-0.5589279997182487,-0.5829280276039276,-0.6014281077649227,-0.8018055051048808
AC,0.9622504486493764,-0.28171808490950556,0.6666666666666671,0.647150228929434,0.8411910241920597,0.9622504486493764,0.9045340337332909,1.0,0.7071067811865475,0.9622504486493764,0.9622504486493763,0.9622504486493764,0.9483298271145062,0.9645108818115927,0.9656920824041064,0.9555635896554974,0.9542292631066239,0.9810107911001986,0.9572628872270571,0.972251798635351,0.9656736767558493,0.9492886003574503,0.8854790289481649,0.959089940798179,0.22054291041903928,-0.3765566143924779,-0.3663809881007882,-0.06229691704292935,-0.28763753125403596,-0.2637474678648744,-0.3477356528367032,-0.39017298546220164,-0.593577461711589,-0.602642761386374,-0.5915081465345731,-0.22005958220431648,-0.25327995383172863,-0.23549871376743123,-0.20984180712119158,-0.0839341007525294,-0.19396972072803761,-0.16174227672329183,-0.18247311791587653,-0.22758585668185155,-0.47465690706643876
Washing Machine,0.8164965809277261,-0.7171371656006361,1.570092458683775e-16,0.9805806756909202,0.6488856845230502,0.8164965809277261,0.8528028654224417,0.7071067811865475,1.0,0.8164965809277261,0.8164965809277261,0.8164965809277261,0.6996301324481403,0.7301688852813687,0.7373972852277022,0.757676570138856,0.7582238241040329,0.8292531268191088,0.8367337931499811,0.7365254618196523,0.7536224917099533,0.7249405257704996,0.7414895114425298,0.5944597815774714,0.03569230243406412,-0.7752053483934117,-0.7847866827857187,-0.45927470597162456,-0.7226287383595531,-0.722156554210988,-0.7344929900342655,-0.6920648597867834,-0.6371047272313637,-0.7049120393480638,-0.44259935217092855,-0.6722999405670693,-0.7107990364517662,-0.6303667611819365,-0.4675877741526926,-0.20070363046175357,-0.6621504900356611,-0.6949191510602253,-0.6587057969202939,-0.7727540345101861,-0.8264587113548818
TV,1.0,-0.29277002188455997,0.5773502691896261,0.8006407690254358,0.9271726499455305,1.0,0.8703882797784892,0.9622504486493764,0.8164965809277261,1.0,1.0,1.0,0.9809872273664779,0.9903033804696191,0.9918054235544729,0.9939649266373576,0.9938112625599329,0.9865116079796159,0.9993502898816362,0.9918938982437562,0.9946148282593729,0.9867828762733268,0.9671846440733168,0.9495887342496611,0.36432431481667155,-0.38861346737748936,-0.3879614880259179,-0.01764199384662855,-0.29976902205178924,-0.2846593498484009,-0.34563035636997624,-0.35244262077399346,-0.4872003938255529,-0.5222416823665434,-0.4207726184804043,-0.22800962774458428,-0.27129870151947516,-0.21484441363600026,-0.12188886592762618,0.06863534248579034,-0.20613310720023914,-0.20827475577613347,-0.19718176451304176,-0.29954514679466104,-0.4861735103773935
PC,1.0,-0.29277002188455997,0.577350269189626,0.8006407690254357,0.9271726499455305,1.0,0.8703882797784892,0.9622504486493763,0.8164965809277261,1.0,1.0,1.0,0.980987227366478,0.9903033804696191,0.9918054235544729,0.9939649266373577,0.9938112625599329,0.986511607979616,0.9993502898816361,0.9918938982437562,0.9946148282593729,0.9867828762733267,0.9671846440733167,0.9495887342496611,0.36432431481667155,-0.3886134673774894,-0.38796148802591796,-0.01764199384662855,-0.2997690220517893,-0.2846593498484009,-0.34563035636997624,-0.3524426207739935,-0.48720039382555286,-0.5222416823665434,-0.42077261848040437,-0.22800962774458428,-0.27129870151947516,-0.21484441363600024,-0.1218888659276262,0.06863534248579034,-0.20613310720023914,-0.20827475577613347,-0.19718176451304179,-0.29954514679466104,-0.48617351037739354
Induction Stove,1.0,-0.29277002188455997,0.5773502691896261,0.8006407690254358,0.9271726499455305,1.0,0.8703882797784892,0.9622504486493764,0.8164965809277261,1.0,1.0,1.0,0.9809872273664779,0.9903033804696191,0.9918054235544729,0.9939649266373576,0.9938112625599329,0.9865116079796159,0.9993502898816362,0.9918938982437562,0.9946148282593729,0.9867828762733268,0.9671846440733168,0.9495887342496611,0.36432431481667155,-0.38861346737748936,-0.3879614880259179,-0.01764199384662855,-0.29976902205178924,-0.2846593498484009,-0.34563035636997624,-0.35244262077399346,-0.4872003938255529,-0.5222416823665434,-0.4207726184804043,-0.22800962774458428,-0.27129870151947516,-0.21484441363600026,-0.12188886592762618,0.06863534248579034,-0.20613310720023914,-0.20827475577613347,-0.19718176451304176,-0.29954514679466104,-0.4861735103773935
21July unit,0.9809872273664779,-0.10227251998923269,0.7096932974218176,0.702278960375191,0.9692829046408201,0.9809872273664779,0.7753281757846927,0.9483298271145062,0.6996301324481403,0.9809872273664779,0.980987227366478,0.9809872273664779,1.0,0.997734004628032,0.9969786256076771,0.99622201584201,0.996227767823414,0.9474132915049804,0.9738488477680703,0.9951565865977713,0.9953017549479956,0.9993475222257439,0.9833186323860933,0.9855722915096163,0.5043244879217649,-0.20318474505463063,-0.20198662343292226,0.17069179307899532,-0.10951110804877383,-0.09338345394956218,-0.15878735256767734,-0.17143071788874395,-0.341549317241069,-0.36942154360814466,-0.3089182097637201,-0.03540283689690033,-0.07961136282519371,-0.024678301940984696,0.055307536848792194,0.21931742894132744,-0.01272876833737092,-0.014873543885189992,-0.0034655866542176194,-0.11084747260411709,-0.3083936789403474
21 August unit,0.9903033804696191,-0.1634925612257168,0.6826410294928371,0.7217227481439846,0.9531066609551727,0.9903033804696191,0.8160487342052539,0.9645108818115927,0.7301688852813687,0.9903033804696191,0.9903033804696191,0.9903033804696191,0.997734004628032,1.0,0.9999329224650836,0.9986885901693304,0.9985056610164574,0.9667228714976358,0.984708697430516,0.9994671742431817,0.9993683077900767,0.9986039968447361,0.976162479730953,0.982591955664503,0.44614989402977717,-0.2634214804967493,-0.26128537021558657,0.10580287027493472,-0.170583820006955,-0.15364259856582305,-0.22078533715544188,-0.23577287655073526,-0.40371278490464585,-0.43110596748315294,-0.3673536625936199,-0.09715246397104398,-0.14023386309180072,-0.08887581466606202,-0.011886883974305939,0.15447142638168468,-0.07407334662367558,-0.07224325449407386,-0.0645444923483334,-0.16447881224843197,-0.36702362591987747
21 sep unit,0.9918054235544729,-0.17487453293104288,0.6750201431925996,0.7278534696028235,0.9509682995052592,0.9918054235544729,0.8219967574108933,0.9656920824041064,0.7373972852277022,0.9918054235544729,0.9918054235544729,0.9918054235544729,0.9969786256076771,0.9999329224650836,1.0,0.9989299009237411,0.9987375663645285,0.969405997898505,0.9865947373161272,0.9996468644986476,0.99970208889641,0.9982326644461273,0.9755757846396351,0.9808176530468175,0.4380129001820871,-0.2745394895045198,-0.27243613260524274,0.0946559159696432,-0.18195431308304835,-0.1650682976069186,-0.2319699213360133,-0.24661243599587507,-0.4125056022946054,-0.44033795257241115,-0.37411727794035565,-0.10863477398300267,-0.15167869767414233,-0.10020673267926473,-0.022410771577798364,0.14559232640369008,-0.08559495904602593,-0.08376794734779758,-0.07608138738157061,-0.17576119209515634,-0.3777255411036958
21 oct unit,0.9939649266373576,-0.18615699494495713,0.6500812724946758,0.7542640483468611,0.9577578720033675,0.9939649266373576,0.8175845657764889,0.9555635896554974,0.757676570138856,0.9939649266373576,0.9939649266373577,0.9939649266373576,0.99622201584201,0.9986885901693304,0.9989299009237411,1.0,0.999989800130516,0.9675855390460368,0.9898312612377922,0.997641976844248,0.9993326007724792,0.9985988710051269,0.9829700770407536,0.9724377270964496,0.4513229111796143,-0.28521034593230027,-0.284678706953468,0.09110513016832146,-0.19336201356901989,-0.1780276270804101,-0.24065275434141106,-0.2491758014816248,-0.40127635949644624,-0.43353757255064734,-0.3508890744603229,-0.11986370382327918,-0.16426198307316622,-0.10674494058569729,-0.017808316588581896,0.161192073138363,-0.09765978481115464,-0.10136853103443935,-0.08861994727750733,-0.1967355593290327,-0.38737820341966056
21 nov unit,0.9938112625599329,-0.1849919070626281,0.6490411845256625,0.755655940804807,0.9588120403765604,0.9938112625599329,0.8158781233165898,0.9542292631066239,0.7582238241040329,0.9938112625599329,0.9938112625599329,0.9938112625599329,0.996227767823414,0.9985056610164574,0.9987375663645285,0.999989800130516,1.0,0.966791006023622,0.9897097549651802,0.9973320463109516,0.9991575539459837,0.9986409654806719,0.9837706177132362,0.9718765418282652,0.45428604788735066,-0.2840294784054773,-0.28365090879043353,0.09298864550231382,-0.19221145854620608,-0.1770246064835895,-0.2392596413893441,-0.24723017499564498,-0.39833233342052615,-0.4309524698229878,-0.3471395037834763,-0.11867757213750676,-0.16321786884465686,-0.10511384227948345,-0.015214802232992692,0.16455797728413304,-0.09655218098819215,-0.10082233163282332,-0.08755801110122186,-0.19657427802678407,-0.3861707543854002
21 dec unit,0.9865116079796159,-0.3986570885325204,0.535947208689286,0.7820790506069336,0.8555533990274098,0.9865116079796159,0.9363380841197534,0.9810107911001986,0.8292531268191088,0.9865116079796159,0.986511607979616,0.9865116079796159,0.9474132915049804,0.9667228714976358,0.969405997898505,0.9675855390460368,0.966791006023622,1.0,0.9877095940766912,0.9736283369354378,0.9735486222652724,0.9547542981436882,0.9126842975788715,0.9257069508551033,0.21187017035349348,-0.4903263129203575,-0.4855886849531285,-0.15007069652151506,-0.4049623908260961,-0.38649712588861684,-0.45506115045523926,-0.47487484588522483,-0.6194712903656868,-0.646473956420911,-0.5632882720515995,-0.33705892518593494,-0.37481926797399373,-0.33579976562035785,-0.26701482913564745,-0.09208380960640547,-0.31386225692585545,-0.3000543740480053,-0.3039814274310262,-0.3760797973509351,-0.5828835054855896
22 jan unit,0.9993502898816362,-0.3234467250034862,0.5476051982650929,0.8200418250723313,0.9190991826669901,0.9993502898816362,0.8796416943762437,0.9572628872270571,0.8367337931499811,0.9993502898816362,0.9993502898816361,0.9993502898816362,0.9738488477680703,0.984708697430516,0.9865947373161272,0.9898312612377922,0.9897097549651802,0.9877095940766912,1.0,0.9866842755650602,0.9902756690409702,0.9809250474439087,0.963010173170853,0.9377286587785075,0.34593994630172614,-0.41794958046593006,-0.4178594517297025,-0.04678708165361818,-0.33041895795365933,-0.31599548134937017,-0.3747519778370162,-0.3788054331010563,-0.5035303684157106,-0.5408431553923015,-0.42868267104471264,-0.2592537542364104,-0.3026374524804838,-0.24435324644946466,-0.14646036290306702,0.05057677327272361,-0.23784108659853467,-0.24165535799375829,-0.22911739220149324,-0.3328696036503399,-0.5136528782793244
22 feb unit,0.9918938982437562,-0.1862278905781617,0.6764063303372805,0.7217965449645256,0.9427506944914811,0.9918938982437562,0.8329816238772563,0.972251798635351,0.7365254618196523,0.9918938982437562,0.9918938982437562,0.9918938982437562,0.9951565865977713,0.9994671742431817,0.9996468644986476,0.997641976844248,0.9973320463109516,0.9736283369354378,0.9866842755650602,1.0,0.9993729794072356,0.9963789935783229,0.9694329343425859,0.9817194624417455,0.41720980966438226,-0.2857170934406784,-0.28277876903555443,0.07901373154709511,-0.19321124778252483,-0.1755526998284326,-0.2444218091109501,-0.26196597194264015,-0.4322597410439532,-0.4582494701086842,-0.39750269296639,-0.12024684158954692,-0.16242011525937108,-0.11424191747612665,-0.04155795281677941,0.12263718990918386,-0.09682073380414324,-0.09187016955759593,-0.08707345768302675,-0.18147625925748465,-0.3887140521070603
22 mar unit,0.9946148282593729,-0.19681812478401062,0.6569402678210062,0.7432960719084675,0.9482797401773443,0.9946148282593729,0.8313988716495656,0.9656736767558493,0.7536224917099533,0.9946148282593729,0.9946148282593729,0.9946148282593729,0.9953017549479956,0.9993683077900767,0.99970208889641,0.9993326007724792,0.9991575539459837,0.9735486222652724,0.9902756690409702,0.9993729794072356,1.0,0.9974344733844588,0.9757059261247807,0.9759533491727683,0.4261565501557709,-0.29588692487822543,-0.2941319658229721,0.07449454332880304,-0.20389946601580927,-0.18740058987117453,-0.25307528702908194,-0.26597974212471576,-0.4257083564431276,-0.4551214156937628,-0.3815622537538861,-0.1307582393797056,-0.17397779669211025,-0.12119985424122467,-0.03994968830047774,0.13292584158192,-0.10794672702882997,-0.10714933883397015,-0.09854955249201452,-0.19932303630555587,-0.39813494177286807
22 april unit,0.9867828762733268,-0.13395528218425515,0.6839373542858328,0.7269045982423671,0.9676603082067716,0.9867828762733268,0.789567401004703,0.9492886003574503,0.7249405257704996,0.9867828762733268,0.9867828762733267,0.9867828762733268,0.9993475222257439,0.9986039968447361,0.9982326644461273,0.9985988710051269,0.9986409654806719,0.9547542981436882,0.9809250474439087,0.9963789935783229,0.9974344733844588,1.0,0.98571120231242,0.9799207699252468,0.48947368713533407,-0.23416773310526257,-0.23356024729696484,0.1424977605183682,-0.14121703337645689,-0.1257068806302365,-0.1892213612244559,-0.1990442540886547,-0.3599039472725511,-0.3903345904288264,-0.31834882814322635,-0.06721725147471926,-0.11183920631926182,-0.054578064530211134,0.031129034232972152,0.20298519351790142,-0.044879066763477866,-0.04883849178079049,-0.035794306754143405,-0.1454572848645395,-0.33817823726155205
